"","X","Countries.and.territories","DateRep","Cases","Deaths"
"384","Italy.384","Italy","17/02/2021",12066,369
"385","Italy.385","Italy","18/02/2021",13755,347
"386","Italy.386","Italy","19/02/2021",15470,348
"387","Italy.387","Italy","20/02/2021",14914,251
"388","Italy.388","Italy","21/02/2021",13450,232
"389","Italy.389","Italy","22/02/2021",9617,274
"390","Italy.390","Italy","23/02/2021",13299,356
"391","Italy.391","Italy","24/02/2021",16402,318
"392","Italy.392","Italy","25/02/2021",19871,308
"393","Italy.393","Italy","26/02/2021",20488,253
"394","Italy.394","Italy","27/02/2021",18902,280
"395","Italy.395","Italy","28/02/2021",17440,192
"396","Italy.396","Italy","01/03/2021",13106,246
"397","Italy.397","Italy","02/03/2021",17063,343
"398","Italy.398","Italy","03/03/2021",20840,347
"399","Italy.399","Italy","04/03/2021",22845,339
"400","Italy.400","Italy","05/03/2021",24010,297
"401","Italy.401","Italy","06/03/2021",23633,307
"402","Italy.402","Italy","07/03/2021",20724,207
"403","Italy.403","Italy","08/03/2021",13882,318
"404","Italy.404","Italy","09/03/2021",19725,376
"405","Italy.405","Italy","10/03/2021",22275,332
"406","Italy.406","Italy","11/03/2021",25649,373
"407","Italy.407","Italy","12/03/2021",26790,380
"408","Italy.408","Italy","13/03/2021",26031,317
"409","Italy.409","Italy","14/03/2021",21304,264
"410","Italy.410","Italy","15/03/2021",15252,354
"411","Italy.411","Italy","16/03/2021",20376,502
"412","Italy.412","Italy","17/03/2021",23040,431
"413","Italy.413","Italy","18/03/2021",24901,423
"414","Italy.414","Italy","19/03/2021",25707,386
"415","Italy.415","Italy","20/03/2021",23913,401
"416","Italy.416","Italy","21/03/2021",20045,300
"417","Italy.417","Italy","22/03/2021",24501,386
"418","Italy.418","Italy","23/03/2021",18739,551
"419","Italy.419","Italy","24/03/2021",21246,460
"420","Italy.420","Italy","25/03/2021",23681,460
"421","Italy.421","Italy","26/03/2021",24076,457
"422","Italy.422","Italy","27/03/2021",23834,380
"423","Italy.423","Italy","28/03/2021",19604,297
"424","Italy.424","Italy","29/03/2021",12900,417
"425","Italy.425","Italy","30/03/2021",16055,529
"426","Italy.426","Italy","31/03/2021",23887,467
"427","Italy.427","Italy","01/04/2021",22184,501
"428","Italy.428","Italy","02/04/2021",21917,481
"429","Italy.429","Italy","03/04/2021",21247,376
"430","Italy.430","Italy","04/04/2021",18017,326
"431","Italy.431","Italy","05/04/2021",10680,296
"432","Italy.432","Italy","06/04/2021",7763,421
"433","Italy.433","Italy","07/04/2021",13686,627
"434","Italy.434","Italy","08/04/2021",17209,487
"435","Italy.435","Italy","09/04/2021",18924,718
"436","Italy.436","Italy","10/04/2021",17551,344
"437","Italy.437","Italy","11/04/2021",15737,331
"438","Italy.438","Italy","12/04/2021",9780,358
"439","Italy.439","Italy","13/04/2021",13439,476
"440","Italy.440","Italy","14/04/2021",16160,469
"441","Italy.441","Italy","15/04/2021",16963,380
"442","Italy.442","Italy","16/04/2021",15923,429
"443","Italy.443","Italy","17/04/2021",15364,310
"444","Italy.444","Italy","18/04/2021",12688,251
"445","Italy.445","Italy","19/04/2021",8863,316
"446","Italy.446","Italy","20/04/2021",12069,390
"447","Italy.447","Italy","21/04/2021",13836,364
"448","Italy.448","Italy","22/04/2021",16046,360
"449","Italy.449","Italy","23/04/2021",14758,342
"450","Italy.450","Italy","24/04/2021",13814,322
"451","Italy.451","Italy","25/04/2021",13157,217
"452","Italy.452","Italy","26/04/2021",8440,301
"453","Italy.453","Italy","27/04/2021",10398,373
"454","Italy.454","Italy","28/04/2021",13382,344
"455","Italy.455","Italy","29/04/2021",14314,288
"456","Italy.456","Italy","30/04/2021",13445,263
"457","Italy.457","Italy","01/05/2021",12964,226
"458","Italy.458","Italy","02/05/2021",9145,144
"459","Italy.459","Italy","03/05/2021",5946,256
"460","Italy.460","Italy","04/05/2021",9113,305
"461","Italy.461","Italy","05/05/2021",10579,267
"462","Italy.462","Italy","06/05/2021",11798,258
"463","Italy.463","Italy","07/05/2021",10549,207
"464","Italy.464","Italy","08/05/2021",10174,224
"465","Italy.465","Italy","09/05/2021",8289,139
"466","Italy.466","Italy","10/05/2021",5077,198
"467","Italy.467","Italy","11/05/2021",6943,251
"468","Italy.468","Italy","12/05/2021",7848,262
"469","Italy.469","Italy","13/05/2021",8082,201
"470","Italy.470","Italy","14/05/2021",7562,182
"471","Italy.471","Italy","15/05/2021",6652,136
"472","Italy.472","Italy","16/05/2021",5748,93
"473","Italy.473","Italy","17/05/2021",3454,140
"474","Italy.474","Italy","18/05/2021",4449,201
"475","Italy.475","Italy","19/05/2021",5500,149
"476","Italy.476","Italy","20/05/2021",5736,164
"477","Italy.477","Italy","21/05/2021",5215,218
"478","Italy.478","Italy","22/05/2021",4714,125
"479","Italy.479","Italy","23/05/2021",3993,72
"480","Italy.480","Italy","24/05/2021",2489,110
"481","Italy.481","Italy","25/05/2021",3220,166
"482","Italy.482","Italy","26/05/2021",3935,121
"483","Italy.483","Italy","27/05/2021",4143,171
"484","Italy.484","Italy","28/05/2021",3737,126
"485","Italy.485","Italy","29/05/2021",3348,83
"486","Italy.486","Italy","30/05/2021",2948,44
"487","Italy.487","Italy","31/05/2021",1818,82
"488","Italy.488","Italy","01/06/2021",2483,93
"489","Italy.489","Italy","02/06/2021",2896,62
"490","Italy.490","Italy","03/06/2021",1963,59
"491","Italy.491","Italy","04/06/2021",2556,73
"492","Italy.492","Italy","05/06/2021",2434,57
"493","Italy.493","Italy","06/06/2021",2275,51
"494","Italy.494","Italy","07/06/2021",1270,65
"495","Italy.495","Italy","08/06/2021",1894,102
"496","Italy.496","Italy","09/06/2021",2198,77
"497","Italy.497","Italy","10/06/2021",2078,88
"498","Italy.498","Italy","11/06/2021",1892,69
"499","Italy.499","Italy","12/06/2021",1722,52
"500","Italy.500","Italy","13/06/2021",1390,26
"501","Italy.501","Italy","14/06/2021",907,36
"502","Italy.502","Italy","15/06/2021",1253,63
"503","Italy.503","Italy","16/06/2021",1400,52
"504","Italy.504","Italy","17/06/2021",1323,37
"505","Italy.505","Italy","18/06/2021",1147,35
"506","Italy.506","Italy","19/06/2021",1193,28
"507","Italy.507","Italy","20/06/2021",881,17
"508","Italy.508","Italy","21/06/2021",484,21
"509","Italy.509","Italy","22/06/2021",834,31
"510","Italy.510","Italy","23/06/2021",1140,30
"511","Italy.511","Italy","24/06/2021",266,10
"512","Italy.512","Italy","25/06/2021",751,56
"513","Italy.513","Italy","26/06/2021",838,40
"514","Italy.514","Italy","27/06/2021",780,14
"515","Italy.515","Italy","28/06/2021",387,28
"516","Italy.516","Italy","29/06/2021",677,42
"517","Italy.517","Italy","30/06/2021",776,24
"518","Italy.518","Italy","01/07/2021",879,21
"519","Italy.519","Italy","02/07/2021",794,28
"520","Italy.520","Italy","03/07/2021",929,22
"521","Italy.521","Italy","04/07/2021",806,12
"522","Italy.522","Italy","05/07/2021",480,31
"523","Italy.523","Italy","06/07/2021",907,24
"524","Italy.524","Italy","07/07/2021",1010,14
"525","Italy.525","Italy","08/07/2021",1391,13
"526","Italy.526","Italy","09/07/2021",1386,25
"527","Italy.527","Italy","10/07/2021",1394,12
"528","Italy.528","Italy","11/07/2021",1391,7
"529","Italy.529","Italy","12/07/2021",887,13
"530","Italy.530","Italy","13/07/2021",1530,20
"531","Italy.531","Italy","14/07/2021",2153,23
"532","Italy.532","Italy","15/07/2021",2473,9
"533","Italy.533","Italy","16/07/2021",2895,11
"534","Italy.534","Italy","17/07/2021",3118,13
"535","Italy.535","Italy","18/07/2021",3126,3
"536","Italy.536","Italy","19/07/2021",2070,7
"537","Italy.537","Italy","20/07/2021",3555,10
"538","Italy.538","Italy","21/07/2021",4254,21
"539","Italy.539","Italy","22/07/2021",5056,15
"540","Italy.540","Italy","23/07/2021",5142,17
"541","Italy.541","Italy","24/07/2021",5138,5
"542","Italy.542","Italy","25/07/2021",4742,7
"543","Italy.543","Italy","26/07/2021",3115,22
"544","Italy.544","Italy","27/07/2021",4516,24
"545","Italy.545","Italy","28/07/2021",5693,15
"546","Italy.546","Italy","29/07/2021",6167,19
"547","Italy.547","Italy","30/07/2021",6613,18
"548","Italy.548","Italy","31/07/2021",6509,16
